chunk,load
0,0.0007693353704506878
1,0.0006600136080121605
2,0.0006600136080121605
3,0.0016971032720980762
4,0.001328303441032149
5,0.001328303441032149
6,0.001328303441032149
7,0.0016304811777304931
8,0.0016304811777304931
11,0.03059040327422201
12,0.030586580731775594
13,0.030586580731775594
14,0.030652158974689325
15,3.1324388684125747e-06
17,2.398977024386074e-05
18,2.839088785015792e-05
19,2.809315613280803e-06
20,2.809315613280803e-06
22,0.0004643867623911856
25,2.320385974546561e-05
26,2.320385974546561e-05
32,0.01217700210241927
33,0.004768233722603067
34,0.004303846960211881
35,0.004306656275825163
36,0.0009796201793311691
37,0.0009051850688629856
38,0.0007011855642673919
39,0.0007011855642673919
40,0.0007011855642673919
41,0.007180416300934081
42,0.0005795920789696264
43,0.007310233076555204
44,0.007180416300934081
45,0.007180416300934081
46,0.007180416300934081
50,0.0005027568610480467
51,0.0005027568610480467
52,0.03013708762014128
53,0.03013708762014128
54,0.03013708762014128
55,0.03013708762014128
56,0.0007139470910409938
57,0.0007139470910409938
58,0.0007139470910409938
59,0.0018781617410682017
60,0.0018053969716345106
61,0.0018053969716345106
62,0.0017978871350996896
63,0.040831531007334276
64,0.040831531007334276
65,0.040831531007334276
67,0.04081561179411681
68,1.591921321746633e-05
69,0.0035288723449195375
70,0.0035288723449195375
71,0.0025000506381178205
73,0.18403588075486066
74,0.16052717268319602
75,0.02004664932846193
76,0.00104287306705211
79,0.006498537239363113
80,0.00029978580649787185
81,0.0001715201569864131
83,0.00029978580649787185
84,0.0022335396700958686
87,0.06466656465026951
88,0.06466656465026951
90,0.06466656465026951
91,0.05788450686533029
92,0.05788450686533029
93,0.05788450686533029
94,0.05788450686533029
95,0.05788450686533029
96,0.05788450686533029
97,0.06438304410469341
98,0.06438304410469341
99,0.06425174486018966
100,0.06425174486018966
101,0.06425174486018966
102,0.0663485604758935
109,0.0067983230458609845
110,0.0018021182254910964
111,0.0024523164030485225
112,0.0018021182254910964
113,0.001366357193910767
114,0.0007179813664684356
115,0.0007411852262139012
116,0.0007314917090711321
117,0.0007193511870711442
118,0.0005079225249954556
119,0.0004894184432095408
120,0.0004894184432095408
121,0.0011263570080554276
122,0.0011263570080554276
123,0.0012069914149144757
124,0.0012050638240953125
125,0.03022937201734582
126,0.030208683217591407
127,0.030231887077336872
128,0.030208683217591407
129,0.030076986137111874
130,0.030076986137111874
131,0.030076986137111874
132,0.030076986137111874
133,0.030076986137111874
134,0.030095353167476645
135,0.030099084377799318
136,0.03009404147876856
137,0.03009404147876856
138,0.03009404147876856
139,0.030095912099266486
140,0.03009404147876856
141,0.030425264647380067
142,0.030402670615916182
143,0.0001877326583058285
144,0.0001877326583058285
145,0.0001877326583058285
146,0.0006931231304081733
147,0.000660365950949247
148,0.000660365950949247
149,0.0006595458395944273
150,0.000643600484071633
151,0.0006417788355142484
152,0.000637457452121536
153,0.0006425003511522928
154,0.0006334524597014456
155,0.0005027568610480467
156,0.0005027568610480467
157,0.0005027568610480467
158,0.007209620829189049
159,0.00720274095074979
160,0.013997251448165753
161,0.01363735571499276
162,0.012010348211063858
163,0.012014238375814714
164,0.012011579064974845
165,0.0113823504437084
166,0.0113823504437084
167,0.0113823504437084
168,0.0113823504437084
169,0.0113823504437084
170,0.0113823504437084
171,0.0113823504437084
172,0.011415928745167614
173,0.011415928745167614
174,0.010364000766068233
175,0.010364000766068233
176,0.010438652427225935
177,0.010437307097469407
178,0.000549387979242215
179,0.0008379471689601606
180,0.001328303441032149
181,0.001328303441032149
183,4.416983844859989e-06
184,6.95264450320745e-06
185,6.95264450320745e-06
186,0.006801463141919172
187,6.879878439260062e-06
188,0.0005027568610480467
189,0.030076986137111874
191,0.030318458333550985
