chunk,load
0,0.0006844669812932208
1,0.0005962997041105945
2,0.0005962997041105945
3,0.0014491295926898752
4,0.0011716584169751175
5,0.0011716584169751175
6,0.0011716584169751175
7,0.0014385743708975013
8,0.0014385743708975013
11,0.025754311524500778
12,0.025751228669340945
13,0.025751228669340945
14,0.025804117087814583
15,2.526291195902202e-06
17,1.934759077660624e-05
18,2.289706296999441e-05
19,2.2656944312335486e-06
20,2.2656944312335486e-06
22,0.00039895251053657276
25,1.8713759166073045e-05
26,1.8713759166073045e-05
32,0.010723248249339802
33,0.004061404030165346
34,0.003662451519628773
35,0.0036647172140600068
36,0.0008848503117038984
37,0.0008139091719372196
38,0.0006295046140785174
39,0.0006295046140785174
40,0.0006295046140785174
41,0.006111494302299172
42,0.000546978863317781
43,0.006216190671840217
44,0.006111494302299172
45,0.006111494302299172
46,0.006111494302299172
50,0.00043680989359580626
51,0.00043680989359580626
52,0.02539690008052631
53,0.02539690008052631
54,0.02539690008052631
55,0.02539690008052631
56,0.000613221545193046
57,0.000613221545193046
58,0.000613221545193046
59,0.001582828906127208
60,0.0015241446016238148
61,0.0015241446016238148
62,0.0015180879682089074
63,0.03451769825337625
64,0.03451769825337625
65,0.03451769825337625
67,0.034504859513376396
68,1.2838739999850565e-05
69,0.0029548539879084732
70,0.0029548539879084732
71,0.002061741629348886
73,0.16105607305472966
74,0.14201114420606192
75,0.017930694896136055
76,0.0008903809136086817
79,0.0059062233695999725
80,0.0002768667258875985
81,0.00014685245670907035
83,0.0002768667258875985
84,0.0020206886176785503
87,0.058410355555921126
88,0.058410355555921126
90,0.058410355555921126
91,0.05271931323730128
92,0.05271931323730128
93,0.05271931323730128
94,0.05271931323730128
95,0.05271931323730128
96,0.05271931323730128
97,0.05862553660690125
98,0.05862553660690125
99,0.05851964463602728
100,0.05851964463602728
101,0.05851964463602728
102,0.060409042925949216
109,0.0061830900954875714
110,0.001521500314579866
111,0.002081780660815611
112,0.001521500314579866
113,0.0011459907297521295
114,0.0006164751615994073
115,0.0006351889207654803
116,0.0006273711634064948
117,0.0006175799128408391
118,0.0004329959222355276
119,0.0004180725028592061
120,0.0004180725028592061
121,0.0009676590592840713
122,0.0009676590592840713
123,0.0010326901742370158
124,0.0010311355850110746
125,0.025471326835515187
126,0.025454641455570377
127,0.02547335521473645
128,0.025454641455570377
129,0.02534024400465674
130,0.02534024400465674
131,0.02534024400465674
132,0.02534024400465674
133,0.02534024400465674
134,0.025355056892969834
135,0.025358066089376918
136,0.025353999024716314
137,0.025353999024716314
138,0.025353999024716314
139,0.025355507667755586
140,0.025353999024716314
141,0.025621128315946862
142,0.025602906379249953
143,0.00015140514525082346
144,0.00015140514525082346
145,0.00015140514525082346
146,0.000590339028715034
147,0.0005639205804879465
148,0.0005639205804879465
149,0.0005632591661132773
150,0.0005503993425173648
151,0.000548930195023712
152,0.0005454450279453646
153,0.0005495120926059692
154,0.0005422150280904411
155,0.00043680989359580626
156,0.00043680989359580626
157,0.00043680989359580626
158,0.006135047560865522
159,0.0061294989844814
160,0.012274422825966504
161,0.011960698278954277
162,0.010524925402965709
163,0.010528062795066092
164,0.01052591807849088
165,0.009979728042414407
166,0.009979728042414407
167,0.009979728042414407
168,0.009979728042414407
169,0.009979728042414407
170,0.009979728042414407
171,0.009979728042414407
172,0.010006808720095038
173,0.010006808720095038
174,0.009085829911949006
175,0.009085829911949006
176,0.00914603598212772
177,0.009144950982591488
178,0.0004581814030397948
179,0.0007141140890412961
180,0.0011716584169751175
181,0.0011716584169751175
183,3.562268209679981e-06
184,5.607261732642187e-06
185,5.607261732642187e-06
186,0.006150531103217747
187,5.548576384122072e-06
188,0.00043680989359580626
189,0.02534024400465674
191,0.025514325124975767
192,0.11055396080208309
193,0.11038377974869096
194,0.11038377974869096
195,0.11038377974869096
198,5.430439052618651e-05
199,5.430439052618651e-05
200,2.321119712094914e-06
201,0.00043680989359580626
202,0.006111494302299172
205,0.0014491295926898752
206,0.000125938822626864
207,0.0004012182049678063
208,0.0008848503117038984
209,0.0006141644746523724
210,0.01782283163077409
211,0.01782283163077409
212,0.12710891861481377
213,0.058410355555921126
214,0.002061741629348886
215,0.001521500314579866
216,0.001521500314579866
217,0.0015419025156902797
218,0.0011193923207806116
219,0.0011193923207806116
220,0.0004329959222355276
221,0.00016330502338702976
222,0.0002161290341564884
223,0.0012533115425677139
224,0.00811440965131296
225,0.007689861740347858
226,0.006427758681100318
227,1.7429354798918698e-05
228,0.001005102647133083
229,0.000924912101561428
230,0.00014642513052201452
231,0.00022661567609366944
232,0.00021905938655696725
233,0.00021905938655696725
234,3.4911945495318755e-05
235,0.0005922663167424877
236,0.004125214726400728
237,0.004245087393361329
238,0.004289919245535786
239,0.005071046628115802
240,0.0020423505192986155
241,0.002795440383873058
242,0.0023679695533044436
244,0.11038377974869096
245,0.11512690745870979
246,0.0020081320723895424
248,0.00072864796289028
249,0.00043532760710868147
250,0.00289066993186642
251,0.002313210057009252
252,0.11155780853485575
253,0.0009876732923341641
254,0.0026740558558226266
255,8.587392517269509e-07
256,8.587392517269509e-07
257,0.0008301465698042445
258,0.0008975651339725161
259,0.011010729456745196
260,0.015419784570273746
261,0.012243643098668414
262,0.001129750339633089
263,0.0019808769479860377
264,0.0005047689962605271
265,0.0005445871111581371
266,0.0007089789260785095
267,0.0007089789260785095
268,0.0007708925921007446
269,0.0006471573295028583
270,0.00011967332997168078
271,0.0007263774463565268
272,0.00010523320484886992
273,0.00248632282241773
275,0.00248632282241773
276,0.0008310053090559715
277,0.00248632282241773
278,1.50454672722361e-05
279,0.0008310053090559715
280,0.0050009455088752385
281,0.004344430460207379
282,0.004357131719015631
283,0.001984950658866306
288,0.002501368289689966
289,0.00024018692474034385
290,0.00016075526928381736
291,0.00016075526928381736
292,6.191366602223509e-05
296,1.170787583275364e-06
297,1.170787583275364e-06
298,1.170787583275364e-06
301,7.94316554565265e-05
302,1.4341397510686838e-05
307,1.170787583275364e-06
308,1.170787583275364e-06
309,1.170787583275364e-06
311,0.0025915560272666
312,0.0050136467676834915
313,0.00011527215188845475
314,1.170787583275364e-06
316,1.4954433746274311e-05
317,0.0035650146775204525
318,0.0006592310807781239
319,0.002471340676799328
320,0.0014761079517255104
321,0.0007936105688206345
322,0.0007936105688206345
323,1.170787583275364e-06
324,1.170787583275364e-06
325,0.11507492418789571
326,0.0005935926776544943
327,0.014049879144618348
328,0.0020081320723895424
329,0.0030212943402320325
330,0.00012034008131118371
331,0.00035982919986157796
332,0.12560768767947408
333,0.12596751687933566
334,0.0006746452459416081
335,0.01005353642106356
336,0.00023716389986610387
337,0.00019421457663530668
339,0.00046929474602286673
340,0.000586366461768875
341,0.00046929474602286673
342,0.010458010613438082
343,0.0003003125801866782
344,0.002329801398767574
345,0.002623254583904165
346,0.009364232197512833
347,0.009200304073299378
348,4.27649201569699e-06
349,0.002071435825732989
350,0.0006889509516191054
351,1.763766100955761e-05
352,0.0035881072106834573
353,0.00329139619222963
354,0.00044913151727818423
355,0.0006451030671529545
356,4.27649201569699e-06
357,0.0029430041435305025
358,0.12350712728304518
359,0.0006592719672335127
360,0.12350712728304518
361,4.095496837682998e-05
362,0.1210021474537424
363,0.000644602351631491
364,0.000644602351631491
365,0.12350712728304518
366,0.002504979829302785
367,0.00044913151727818423
368,0.0033750463647281717
369,0.1210021474537424
370,0.003439015785607858
371,1.763766100955761e-05
372,0.0007085717725111773
373,2.1333561822886367e-05
374,0.00044913151727818423
375,0.008268598976428882
376,0.005402078194619526
378,0.015612672449447177
379,0.00010199198996399577
380,2.827827275223322e-05
381,0.00010137970491419321
382,0.00010137970491419321
383,9.848571376209126e-05
384,8.565588560079427e-05
385,0.0027304440130966807
386,1.0433694624314322e-06
388,0.0034364091513217894
389,9.892095092814318e-05
390,0.000596178152489012
391,0.003337488200393646
392,0.0031550918614954254
393,0.0031550918614954254
394,0.00228808401797697
395,0.00228808401797697
396,0.002495511737559818
397,0.002495511737559818
398,0.000596178152489012
399,0.008563503868096173
400,0.0002690480647396275
401,0.0004392106087976978
402,0.0004392106087976978
403,0.0004392106087976978
404,0.00045958982278704677
405,0.004133773227873868
406,0.012428229031230413
407,0.008294455803356545
408,0.012917868889962396
409,0.016479753071936807
411,0.00020946216336038449
412,0.0003454751185729645
413,0.00033012453547681014
414,0.0002666789779885194
415,0.0002375576117945738
420,0.0020302668429993415
421,0.0020302668429993415
422,0.0027359304480564202
423,0.0043895918929639805
424,0.0043895918929639805
425,0.003358783275973545
426,0.004922317761180593
427,0.012164219166047463
428,0.0007175989517063296
429,0.0007175989517063296
431,0.0005338082551087251
432,0.0005959420845243637
433,0.0005338082551087251
434,0.0005338082551087251
435,0.00023916935564459693
436,0.00023916935564459693
437,0.00020183573917054932
438,0.008294455803356545
439,0.008294455803356545
440,0.017751123145062362
441,1.170787583275364e-06
442,9.568879888232604e-05
443,0.0008605132805550653
444,0.009985628990179605
445,0.007152917540324665
446,0.008156638473154933
447,0.0007296072311856759
448,0.0010093469766363624
453,0.013256000834407627
454,0.004507871007991978
455,0.01787521658728172
456,0.018124587042861923
457,3.51855036680113e-05
458,6.01801841090406e-06
459,0.00010864502570040494
460,9.985303825721933e-06
461,0.009248582315510545
462,0.009809819692891323
463,0.009809819692891323
464,0.009809819692891323
465,0.00923269849894525
466,0.009787484224668854
467,0.0003623677768708454
468,0.009425116447798008
469,0.010423325033823528
470,0.006744996137894285
471,0.0025039364598403533
472,0.0025039364598403533
474,0.0001090383660840318
475,0.0006510077998608515
476,0.006708017376981824
477,0.009481131912863086
478,0.009518110673775547
479,0.0005590158589159557
480,0.00017425850675188573
481,0.004137146736300699
482,0.00018422839405241487
483,0.003501570276948154
484,0.004339651497452527
485,0.005448028949702139
486,0.00046052285364208296
487,0.00046052285364208296
488,0.0009098376460423089
489,0.0007488206671106946
490,0.009872864634957288
491,0.0016338314558842603
492,0.005735204313411289
493,0.005681407333483708
496,5.2453720573853706e-05
497,5.2453720573853706e-05
498,0.0011893842083157075
499,0.004818326220088166
